Unique ID,2016,2017,2018,2019,2020,2021
1002,0,0,0,0,1,0
1005,0,0,0,1,0,0
1010,0,0,2,1,1,0
1013,0,0,1,0,1,0
1014,0,0,0,0,1,0
1016,1,0,0,0,0,0
1018,1,0,0,0,0,0
1020,0,1,0,0,0,0
1022,0,1,0,0,0,0
1026,0,0,1,1,0,0
1029,0,0,0,0,1,0
1031,0,2,0,1,0,0
1034,0,0,0,0,1,0
1035,0,0,0,0,1,0
1037,1,0,0,0,0,0
1038,0,1,1,0,0,0
1039,0,0,0,1,1,0
1042,0,0,1,0,0,0
1043,1,1,1,0,0,0
1045,0,0,1,0,0,0
1046,0,0,1,0,0,0
1051,0,0,0,0,1,0
1053,0,4,1,1,1,0
1056,0,0,0,0,1,0
1057,1,0,1,0,0,0
1058,0,1,0,0,0,0
1059,0,0,0,2,1,0
1108,0,0,0,0,1,0
1109,0,0,0,0,1,0
1110,0,0,0,0,1,0
1114,0,1,1,1,1,0
1115,1,0,0,0,0,0
1117,0,0,0,0,1,0
1120,0,1,0,0,0,0
1122,0,1,1,0,0,0
1123,0,0,1,0,0,0
1125,0,1,1,0,0,0
1126,0,0,1,0,0,0
1127,0,2,1,0,0,0
1128,0,0,0,0,1,0
1129,0,4,1,1,0,0
1131,0,0,0,1,0,0
1135,0,0,1,0,1,0
1138,1,0,0,0,0,0
1139,0,0,0,1,1,0
1141,0,0,1,0,0,0
1143,0,0,0,1,0,0
1145,1,0,0,0,0,0
1146,1,0,0,0,0,0
1149,0,0,1,0,0,0
1151,0,0,0,1,1,0
1153,0,0,2,1,1,0
1157,0,1,0,0,0,0
1159,0,0,0,1,0,0
1203,0,0,0,1,0,0
1205,0,0,1,0,0,0
1212,0,1,0,0,0,0
1213,0,1,0,0,0,0
1214,0,0,1,0,0,0
1218,0,0,0,0,1,0
1221,1,0,0,0,0,0
1222,0,1,0,0,0,0
1223,0,0,0,0,1,0
1225,1,1,1,0,0,0
1226,0,1,1,0,0,0
1227,0,0,1,0,0,0
1228,0,0,1,0,0,0
1229,1,0,1,1,0,0
1230,0,0,1,0,0,0
1231,0,0,0,1,0,0
1235,0,0,1,0,0,0
1236,0,1,0,0,0,0
1237,1,0,0,0,0,0
1240,0,0,4,1,1,0
1242,0,0,1,0,0,0
1245,1,0,0,0,0,0
1246,0,0,1,0,0,0
1248,1,0,0,0,0,0
1252,0,0,0,0,1,0
1253,0,0,1,1,1,0
1254,0,0,1,0,1,0
1305,1,1,0,0,0,0
1309,0,3,1,0,0,0
1310,0,0,0,0,1,0
1312,0,4,1,1,3,0
1315,0,1,0,0,0,0
1318,1,0,0,0,0,0
1320,0,1,0,0,0,0
1325,0,1,0,1,0,0
1330,0,0,1,0,0,0
1331,0,0,1,0,0,0
1332,0,0,1,1,0,0
1334,1,1,0,0,0,0
1336,0,0,0,1,0,0
1338,0,1,0,0,0,0
1339,0,0,0,1,1,0
1340,0,0,0,1,0,0
1343,1,1,1,0,0,0
1345,0,0,1,0,0,0
1346,1,1,0,0,0,0
1348,1,0,0,0,0,0
1349,0,0,1,0,0,0
1351,0,0,0,1,1,0
1353,0,0,0,2,1,0
1356,0,0,0,0,1,0
1358,0,0,1,0,0,0
1359,0,1,0,0,0,0
1402,0,0,1,4,1,0
1406,0,1,0,0,0,0
1410,0,0,0,1,0,0
1411,0,1,0,0,0,0
1416,1,0,0,0,0,0
1418,1,0,0,0,0,0
1419,1,1,1,1,1,0
1420,0,0,0,0,1,0
1423,0,0,1,0,0,0
1425,0,0,0,0,1,0
1426,1,1,1,0,0,0
1427,0,0,1,0,0,0
1428,0,0,0,1,0,0
1429,0,0,0,1,1,0
1430,0,1,1,0,0,0
1432,0,4,2,1,0,0
1433,0,0,0,0,1,0
1435,0,1,0,0,0,0
1436,0,1,0,0,0,0
1438,0,0,1,0,0,0
